               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12269,            0.012893,            0.080203,                   0,                   0,                   0,                   0,             0.12194,           0.0092833,            0.081367,              0.0973,              0.0003,              0.0003
                   1,             0.11874,            0.014397,            0.078965,                   0,                   0,                   0,                   0,             0.11004,            0.010652,            0.078614,            0.093699,          0.00069931,          0.00069931
                   2,              0.1042,            0.017865,            0.075575,          0.00012517,            0.016667,          6.7325e-05,           2.693e-05,             0.08536,            0.012989,            0.074535,            0.090098,           0.0010978,           0.0010978
                   3,            0.090705,             0.02288,            0.071651,           0.0027346,             0.31667,           0.0024067,          0.00054291,            0.077667,             0.01344,            0.070505,            0.086496,           0.0014955,           0.0014955
                   4,             0.08405,            0.021127,            0.068634,           0.0065612,             0.43333,           0.0061304,          0.00086664,            0.069971,            0.013319,            0.066454,            0.082892,           0.0018925,           0.0018925
                   5,            0.081062,            0.026359,             0.06526,           0.0050445,                 0.4,           0.0040184,          0.00096821,            0.072252,            0.012982,            0.062196,            0.079289,           0.0022886,           0.0022886
                   6,            0.074643,            0.026496,            0.062223,           0.0092896,                   1,            0.034272,           0.0081315,            0.061946,            0.014353,            0.055309,            0.075684,            0.002684,            0.002684
                   7,            0.071425,            0.027409,            0.057347,             0.18369,                 0.2,             0.36546,            0.090074,            0.059537,            0.013446,            0.051148,            0.072079,           0.0030785,           0.0030785
                   8,             0.06511,            0.023248,            0.053149,            0.047316,             0.16667,            0.098391,            0.026049,            0.064851,            0.010889,            0.047094,            0.068472,           0.0034723,           0.0034723
                   9,             0.06798,            0.023479,            0.051593,            0.017689,                 0.2,            0.040297,            0.016952,            0.069031,           0.0098834,            0.046276,            0.064865,           0.0038653,           0.0038653
                  10,            0.067619,             0.02544,            0.047656,            0.038788,                0.95,             0.04335,            0.017009,            0.067841,           0.0093772,            0.047571,            0.061257,           0.0042574,           0.0042574
                  11,            0.065548,            0.026027,            0.046269,            0.046591,             0.88333,            0.047912,            0.010085,            0.074646,           0.0082641,            0.048333,            0.057649,           0.0046488,           0.0046488
                  12,            0.062821,             0.01949,            0.045437,            0.081958,             0.93333,             0.11708,            0.052143,            0.068737,           0.0087404,            0.048505,            0.054039,           0.0050394,           0.0050394
                  13,            0.068761,            0.021039,            0.044873,            0.082009,             0.81667,             0.11996,            0.053048,            0.069205,           0.0085812,            0.048031,            0.050429,           0.0054292,           0.0054292
                  14,            0.065975,            0.019758,            0.045363,            0.049547,             0.46667,            0.071719,             0.01169,            0.077555,           0.0087019,            0.048189,            0.046818,           0.0058182,           0.0058182
                  15,            0.075018,            0.017749,            0.044401,             0.11867,             0.62488,             0.15665,            0.024358,            0.086241,           0.0083519,            0.046719,            0.043206,           0.0062064,           0.0062064
                  16,            0.072443,            0.016858,             0.04393,              0.2177,             0.66667,             0.36376,             0.12338,            0.065324,           0.0081478,            0.045339,            0.039594,           0.0065939,           0.0065939
                  17,            0.062945,            0.018904,            0.043516,             0.18879,             0.46667,             0.26735,            0.098507,            0.079357,           0.0078217,            0.042785,            0.035981,           0.0069805,           0.0069805
                  18,            0.074908,            0.016478,             0.04309,             0.07425,             0.31667,             0.10652,            0.025958,            0.061072,           0.0088353,            0.043036,            0.032366,           0.0073663,           0.0073663
                  19,            0.067977,            0.018826,            0.042423,            0.094682,               0.536,             0.17144,            0.071044,            0.068694,           0.0075632,            0.041683,            0.028751,           0.0077514,           0.0077514
                  20,            0.069551,            0.019326,            0.042458,             0.14062,                0.55,              0.2236,            0.052711,            0.056497,           0.0083213,            0.040976,            0.025136,           0.0081357,           0.0081357
                  21,            0.063179,            0.018541,            0.041701,             0.08848,             0.48297,             0.11301,            0.024049,             0.08451,           0.0080266,            0.040687,            0.021519,           0.0085191,           0.0085191
